lemma,learning_language,item
association,fr,association
verband,de,Association
assumir,pt,assume
asumir,es,assume
supposer,fr,Assume
certeza,pt,assurance
à,fr,at
an,de,at
presso,it,At
überhaupt,de,At all
jederzeit,de,at any time
almeno,it,at least
mindestens,de,at least
wenigstens,de,at least
zumindest,de,at least
immédiatement,fr,at once
ander,de,at the
bei,de,At the same time
dabei,de,At the same time
gleichzeitig,de,At the same time
zugleich,de,At the same time
onde,pt,at where
atleta,it,athlete
atleta,pt,athlete
atmosfera,pt,atmosphere
atmósfera,es,atmosphere
anhang,de,attachment
ataque,es,attack
ataque,pt,attack
attacco,it,attack
atentado,es,attempt
tentar,pt,attempt
tentare,it,attempt
versuch,de,attempt
atender,es,attend
atenção,pt,attention
attento,it,attentive
actitud,es,attitude
attitude,fr,attitude
einstellung,de,attitude
abogado,es,attorney
sehenswürdigkeiten,de,attraction
auktion,de,auction
audiencia,es,audience
publikum,de,audience
agosto,es,August
agosto,it,August
agosto,pt,August
août,fr,August
august,de,August
tante,fr,aunt
tía,es,aunt
österreich,de,Austria
auteur,fr,author
autor,de,author
autor,es,Author
autor,pt,author
verfasser,de,author
autoridad,es,authority
autoridade,pt,authority
autorità,it,authority
autorité,fr,authority
behörde,de,authority
genehmigung,de,Authorization
automatisch,de,automatically
auto,de,automobile
autonomía,es,autonomy
automne,fr,autumn
autunno,it,Autumn
herbst,de,autumn
verfügbar,de,available
vorhanden,de,available
avenida,es,avenue
avenida,pt,avenue
durchschnitt,de,average
media,it,average
média,pt,average
medio,it,average
promedio,es,average
evitar,es,avoid
evitar,pt,avoid
éviter,fr,avoid
vermeiden,de,avoid
consciente,es,aware
conciencia,es,awareness
génial,fr,awesome
eje,es,axis
bebé,es,baby
bébé,fr,baby
berço,pt,baby crib
arrière,fr,back
costas,pt,back
dos,fr,back
espalda,es,back
rück,de,Back
zurück,de,back
damals,de,back then
sichern,de,back up
fond,fr,background
fondo,es,background
fondo,it,background
hintergrund,de,background
mochila,es,backpack
cattivo,it,bad
mal,pt,bad
malo,es,bad
mau,pt,bad
mauvais,fr,bad
schlecht,de,bad
bolsa,es,bag
bolsa,pt,Bag
borsa,it,bag
maleta,es,bag
sac,fr,bag
tasche,de,bag
baguette,fr,baguette
assar,pt,bake
boulangerie,fr,bakery
equilibrio,es,balance
equilíbrio,pt,balance
équilibre,fr,balanced
balcon,fr,balcony
balcone,it,balcony
balkon,de,balcony
sacada,pt,balcony
ball,de,ball
balle,fr,ball
ballon,fr,ball
bola,es,ball
bola,pt,ball
boule,fr,ball
palla,it,ball
pelota,pt,Ball
banana,it,banana
banana,pt,banana
banane,fr,banana
banda,es,band
banda,pt,band
banco,es,Bank
banco,pt,Bank
bank,de,Bank
banque,fr,bank
banca,es,banking
bar,de,bar
bar,fr,bar
bar,it,bar
apenas,es,barely
kaum,de,barely
barca,pt,Barge
basis,de,Base
anhand,de,based
basieren,de,Based
keller,de,basemnet
básico,es,basic
básico,pt,basic
fondamentalmente,it,basically
basquete,pt,Basketball
pallacanestro,it,basketball
basso,it,low
bad,de,bath
bain,fr,bath
banho,pt,bath
baño,es,bath
bagno,it,bathroom
baignoire,fr,Bathtub
batería,es,battery
akku,de,battery pack
bataille,fr,battle
batalla,es,battle
bayern,de,Bavaria
betragen,de,be
essere,it,be
estar,pt,be
estar,es,be
être,fr,be
haver,pt,be
sein,de,be
ser,es,be
ser,pt,be
capace,it,be able
nacer,es,be born
naître,fr,be born
heißen,de,be called
wirken,de,be effective
bastar,es,be enough
stimmen,de,be right
gelten,de,be valid
valoir,fr,be worth
lohnen,de,be worthwhile
plage,fr,beach
playa,es,Beach
praia,pt,beach
strand,de,Beach
fagiolo,it,bean
haricot,fr,bean
bär,de,bear
gebären,de,Bear
orso,it,bear
oso,es,bear
ours,fr,bear
urso,pt,bear
battre,fr,Beat
beau,fr,beautiful
bello,it,beautiful
bonito,es,beautiful
bonito,pt,beautiful
schon,de,beautiful
schön,de,beautiful
beauté,fr,beauty
belleza,es,beauty
car,fr,because
denn,de,because
perché,it,because
pois,pt,because
porque,pt,because
wegen,de,because of
devenir,fr,become
diventare,it,become
werden,de,become
bett,de,bed
cama,es,bed
cama,pt,bed
letto,it,bed
lit,fr,bed
chambre,fr,bedroom
quarto,pt,bedroom
abeille,fr,bee
abelha,pt,bee
ape,it,Bee
boeuf,fr,beef
bœuf,fr,beef
manzo,it,beef
bistecca,it,beef steak
bier,de,beer
bière,fr,beer
birra,it,beer
cerveja,pt,beer
cerveza,es,beer
antes,es,before
antes,pt,before
avant,fr,before
bevor,de,before
prima,it,before
vorher,de,before
zuvor,de,Before
beginnen,de,begin
começar,pt,begin
cominciare,it,begin
start,de,begin
anfänger,de,Beginner
principiante,it,beginner
começo,pt,beginning
inizio,it,beginning
principio,es,beginning
comportamento,it,behavior
comportamiento,es,behavior
comportement,fr,behavior
verhalten,de,behavior
atrás,pt,behind
derrière,fr,behind
dietro,it,behind
hinter,de,Behind
bel,fr,Bel
acreditar,pt,believe
credere,it,believe
creer,es,believe
crer,pt,believe
croire,fr,believe
glauben,de,believe
campana,es,Bell
campaña,es,Bell
ventre,fr,belly
appartenere,it,belong
appartenir,fr,belong
gehören,de,belong
pertencer,pt,belong
pertenecer,es,belong
debajo,es,below
embaixo,pt,below
unten,de,below
ceinture,fr,belt
cinto,pt,belt
cintura,it,belt
bénéfice,fr,Benefit
beneficio,es,benefit
vantaggio,it,benefit
además,es,Besides
mejor,es,best
melhor,pt,best
migliore,it,best
meglio,it,better
meilleur,fr,better
mieux,fr,better
entre,es,between
fra,it,between
tra,it,between
bebida,pt,beverage
bevanda,it,beverage
além,pt,beyond
bicicleta,es,bicycle
bicicleta,pt,bicycle
bicicletta,it,bicycle
fahrrad,de,bicycle
gebot,de,bid
grande,es,big
grande,pt,big
groß,de,big
grosso,it,big
bici,it,bike
vélo,fr,bike
bilingüe,es,bilingual
rechnung,de,bill
milliard,fr,billion
milliarde,de,billion
biologia,pt,biology
biologie,de,biology
oiseau,fr,bird
pájaro,es,bird
pássaro,pt,bird
uccello,it,bird
vogel,de,bird
geburt,de,birth
nacimiento,es,birth
naissance,fr,birth
nascimento,pt,birth
nascita,it,birth
aniversário,pt,birthday
compleanno,it,birthday
geburtstag,de,birthday
biscoito,pt,biscuit
biscuit,fr,biscuit
bispo,pt,Bishop
obispo,es,bishop
amargo,pt,bitter
bizarre,fr,Bizarre
negro,es,black
negro,pt,black
nero,it,black
noir,fr,black
preto,pt,black
schwarz,de,black
culpar,es,blame
cobertor,pt,blanket
coperta,it,blanket
couverture,fr,blanket
blockieren,de,Block
biondo,it,blond
blond,fr,blond
blut,de,blood
sang,fr,blood
sangre,es,blood
sangue,it,blood
sangue,pt,blood
blusa,pt,blouse
azul,es,blue
azul,pt,blue
blau,de,blue
bleu,fr,blue
tableau,fr,board
vorstand,de,Board
barca,it,boat
barco,pt,boat
bateau,fr,boat
boot,de,boat
corpo,pt,body
corps,fr,body
cuerpo,es,body
körper,de,body
organismo,pt,body
bollire,it,boil
bouillir,fr,boil
ferver,pt,boil
bomba,es,bomb
hueso,es,bone
os,fr,bone
osso,it,bone
osso,pt,bone
buch,de,book
buchen,de,book
libro,es,book
libro,it,book
livre,fr,book
livro,pt,book
prenotare,it,book
réserver,fr,book
livraria,pt,book store
bota,pt,boot
botte,fr,boot
stivale,it,boot
bordeaux,fr,Bordeaux
fronteira,pt,border
frontera,es,border
frontière,fr,border
chato,pt,boring
ennuyeux,fr,boring
noioso,it,boring
nascer,pt,born
ne,fr,born
chefe,pt,boss
jefe,es,boss
patron,fr,boss
ambos,pt,both
beide,de,both
entrambi,it,both
sia,it,both
tant,fr,Both
ambos,es,both of them
botella,es,bottle
bottiglia,it,bottle
bouteille,fr,bottle
flasche,de,bottle
garrafa,pt,bottle
fundo,pt,bottom
bol,fr,bowl
ciotola,it,bowl
schüssel,de,bowl
boîte,fr,box
caja,es,box
scatola,it,box
chico,es,boy
garçon,fr,boy
garoto,pt,boy
junge,de,Boy
menino,pt,boy
muchacho,es,boy
niño,es,boy
ragazzo,it,boy
rapaz,pt,boy
copain,fr,boyfriend
namorado,pt,boyfriend
novio,es,boyfriend
cerebro,es,brain
cérebro,pt,brain
cerveau,fr,brain
frear,pt,Brake
marca,es,brand
marke,de,brand
brasil,pt,Brazil
brasile,it,Brazil
brésil,fr,Brazil
brasileiro,pt,Brazilian
brasiliano,it,Brazilian
pain,fr,bread
pan,es,bread
pane,it,bread
pão,pt,bread
casser,fr,break
partir,es,break
romper,es,break
rompere,it,break
beenden,de,break up
colazione,it,breakfast
frühstück,de,breakfast
petit-déjeuner,fr,breakfast
amamentar,pt,breastfeed
pont,fr,bridge
ponte,it,bridge
ponte,pt,bridge
puente,es,bridge
apporter,fr,bring
bringen,de,bring
emmener,fr,bring
portare,it,bring
trazer,pt,bring to
británico,es,British
britânico,pt,British
britannico,it,British
britannique,fr,British
amplo,pt,Broad
sendung,de,broadcast
kaputt,de,broken
fratello,it,brother
frère,fr,brother
hermano,es,brother
irmão,pt,brother
bruder,de,brother
geschwister,de,siblings
castanho,pt,brown
marron,fr,Brown
marrone,it,Brown
navegar,pt,browse
stöbern,de,Browse
brosse,fr,brush
escova,pt,brush
spazzola,it,brush
buddha,de,Buddha
presupuesto,es,budget
inseto,pt,bug
bauen,de,build
construir,es,build
construire,fr,build
costruire,it,build
bâtiment,fr,building
construcción,es,building
edificio,es,building
edificio,it,building
edifício,pt,building
gebäude,de,building
toro,es,bull
toro,it,bull
touro,pt,bull
bundesliga,de,Bundesliga
brennen,de,burn
bruciare,it,burn
queimar,pt,burn
autobus,it,bus
ônibus,pt,bus
betrieb,de,business
business,de,Business
empresa,es,business
entreprise,fr,business
geschäft,de,business
gewerbe,de,Business
empresario,es,businessman
empresário,pt,businessman
bensì,it,but
doch,de,but
ma,it,but
mais,fr,but
mas,pt,but
pero,es,but
mano,it,but no
beurre,fr,Butter
burro,it,butter
manteiga,pt,butter
borboleta,pt,butterfly
farfalla,it,butterfly
papillon,fr,butterfly
taste,de,button
acheter,fr,buy
comprar,es,buy
comprare,it,buy
kaufen,de,buy
käufer,de,Buyers
durch,de,by
par,fr,by
per,de,by
por,es,by
gesetzlich,de,By law
übrigens,de,by the way
adiós,es,bye
tschüss,de,bye
c',it,c '
gabinete,es,cabinet
cabo,pt,cable
bolo,pt,cake
gâteau,fr,cake
torta,it,cake
berechnung,de,calculation
calcul,fr,calculation
rechner,de,calculator
calendario,es,calendar
calendario,it,calendar
calendário,pt,calendar
calendrier,fr,calendar
kalender,de,calendar
appel,fr,call
appeler,fr,call
aufrufen,de,Call
chamar,pt,Call
chiamare,it,call
llama,es,call
llamada,es,call
llamar,es,call
nennen,de,call
rufen,de,call
téléphoner,fr,call
rappeler,fr,call back
aufrufe,de,call
calme,fr,calm
calmo,pt,Calm
ruhig,de,calm
vino,es,came
cámara,es,camera
câmera,pt,camera
kamera,de,camera
acampar,pt,camp
lager,de,camp
campagne,fr,campaign
campeggio,it,campground
campus,de,campus
können,de,can
kanada,de,Canada
candidat,fr,candidate
candidato,es,candidate
bewerbung,de,canditature
bonbon,fr,candy
caramella,it,candy
doce,pt,candy
kanton,de,Canton
capa,es,cap
hut,de,cap
capacidad,es,capacity
capacità,it,capacity
capital,es,capital
capital,fr,capital
capital,pt,capital
capitaine,fr,captain
capitán,es,captain
capitano,it,captain
capitão,pt,captain
auto,es,car
automobile,it,car
automóvel,pt,car
automóvil,es,car
carro,pt,car
coche,es,car
voiture,fr,car
cura,it,care
soin,fr,care
sorgen,de,care
versorgung,de,care
betreuung,de,care
carreira,pt,career
carrera,es,career
carrière,fr,career
karriere,de,Career
prudent,fr,careful
tapete,pt,carpet
tapis,fr,Carpet
tappeto,it,carpet
carota,it,carrot
carotte,fr,carrot
cenoura,pt,carrot
llevar,es,carry
porter,fr,carry
tragen,de,carry
continuer,fr,Carry on
cas,fr,case
caso,es,case
caso,pt,case
fall,de,case
falle,de,case
kasse,de,cash register
caixa,pt,Cashier
gehäuse,de,casing
burg,de,Castle
castello,it,castle
castelo,pt,Castle
castillo,es,castle
château,fr,castle
chat,fr,cat
gato,es,cat
gato,pt,cat
gatto,it,cat
katze,de,cat
katalog,de,Catalog
categoria,it,category
categoría,es,category
catégorie,fr,category
kategorie,de,category
rubrik,de,category
católico,es,Catholic
causa,es,cause
causa,pt,Cause
causer,fr,cause
cesser,fr,cease
plafond,fr,ceiling
techo,es,ceiling
teto,pt,ceiling
celebración,es,celebration
cellule,fr,cell
célula,es,cell
zelle,de,cell
celular,es,cell phone
cave,fr,cellar
cent,de,cent
center,de,center
centre,fr,center
centro,es,center
centro,it,center
centro,pt,center
zentrum,de,center
centimetro,it,centimeter
centímetro,pt,centimeter
central,fr,central
zentrale,de,Central
jahrhundert,de,century
secolo,it,century
século,pt,century
siècle,fr,century
siglo,es,century
ceremonia,es,ceremony
cérémonie,fr,ceremony
certain,fr,certain
certainement,fr,certainly
durchaus,de,Certainly
sicuramente,it,certainly
cadena,es,chain
chaîne,fr,chain
corrente,pt,chain
cadeira,pt,chair
chaise,fr,chair
sedia,it,chair
seggiola,it,chair
silla,es,chair
stuhl,de,chair
vorsitzender,de,Chairman
herausforderung,de,Challenge
campeão,pt,champion
campeón,es,champion
champion,fr,champion
campeonato,es,championship
campeonato,pt,championship
campionato,it,championship
chance,de,chance
ocasión,es,chance
lustre,pt,chandelier
ändern,de,change
cambiar,es,change
cambiare,it,change
cambio,es,change
cambio,it,change
changement,fr,change
changer,fr,change
monnaie,fr,change
mudança,pt,change
mudar,pt,change
verändern,de,change
veränderung,de,change
veränderungen,de,change
canal,es,channel
capitolo,it,chapter
capítulo,es,chapter
capítulo,pt,chapter
chapitre,fr,chapter
kapitel,de,chapter
carácter,es,character
caractère,fr,character
caráter,pt,character
carattere,it,character
charakter,de,character
personagem,pt,character
personaggio,it,character
personaje,es,character
personnage,fr,character
zeichen,de,character
merkmal,de,characteristic
eigenschaften,de,characteristic
carregar,pt,charge
chargeur,fr,charger
charme,fr,charm
barato,pt,cheap
günstig,de,Cheap
comprobar,es,check
conferir,pt,check
prüfen,de,check
überprüfen,de,check
vérifier,fr,check
controllare,it,check on
caisse,fr,checkout
saúde,pt,Cheers
formaggio,it,cheese
fromage,fr,cheese
käse,de,cheese
queijo,pt,cheese
queso,es,cheese
chimico,it,chemical
químico,pt,chemical
chemie,de,chemistry
química,es,chemistry
pecho,es,chest
peito,pt,chest
petto,it,chest
poitrine,fr,chest
frango,pt,chicken
hähnchen,de,chicken
pollo,es,chicken
pollo,it,chicken
poulet,fr,chicken
chef,fr,chief
bambino,it,child
criança,pt,child
enfant,fr,child
kind,de,child
enfance,fr,childhood
infancia,es,childhood
infância,pt,childhood
infanzia,it,childhood
infantil,es,childish
infantil,pt,Childlike
pimenta,pt,chili
china,pt,China
chine,fr,China
cina,it,China
chinês,pt,Chinese
chino,es,Chinese
chinois,fr,Chinese
cinese,it,Chinese
chocolat,fr,chocolate
chocolate,pt,chocolate
cioccolato,it,chocolate
choix,fr,choice
elección,es,choice
wahl,de,choice
auswählen,de,choose
choisir,fr,choose
elegir,es,choose
escolher,pt,choose
scegliere,it,choose
wählen,de,choose
coupe,fr,chopped off
weihnachten,de,Christmas
église,fr,church
iglesia,es,church
igreja,pt,church
kirche,de,church
cine,es,cinema
cinema,it,cinema
cinéma,fr,cinema
cifra,pt,cipher
cercle,fr,circle
círculo,es,circle
umkreis,de,Circle
circulação,pt,circulation
circulación,es,circulation
circonstance,fr,circumstance
circunstancia,es,circumstance
circunstância,pt,circumstance
circo,it,circus
cidadão,pt,citizen
citoyen,fr,citizen
cittadino,it,citizen
ciudadano,es,citizen
bürger,de,Citizen
cidade,pt,City
città,it,city
city,de,City
ciudad,es,city
stadt,de,city
ville,fr,city
civil,es,civil
civil,pt,civil
civile,it,civil
civilisation,fr,civilization
clareza,pt,clarity
claridad,es,clarity
clase,es,class
classe,fr,class
classe,it,class
classe,pt,class
klasse,de,class
unterricht,de,class
clásico,es,classic
classique,fr,Classic
klassiker,de,classic
klassik,de,Classical
clasificación,es,classification
colega,pt,classmate
aula,it,classroom
limpar,pt,clean
limpo,pt,clean
nettoyer,fr,clean
propre,fr,clean
pulire,it,clean
reinigung,de,cleaning
chiaro,it,clear
clair,fr,clear
claro,es,Clear
deutlich,de,clear
klar,de,clear
limpido,it,clear
chiaramente,it,clearly
clairement,fr,clearly
claramente,es,clearly
eindeutig,de,clearly
nettement,fr,Clearly
clever,de,clever
klicken,de,click
clima,pt,climate
climat,fr,climate
klima,de,climate
steigen,de,climb
clinica,it,clinic
clínica,es,clinic
clínica,pt,Clinic
klinik,de,clinic
horloge,fr,clock
orologio,it,clock
relógio,pt,clock
reloj,es,clock
uhr,de,Clock
cerca,es,close
cerrar,es,close
chiudere,it,close
fechar,pt,close
fermer,fr,close
nah,de,close
nähe,de,Close
perto,pt,close
proche,fr,close
vicino,it,close
chiuso,it,closed
fechado,pt,closed
fermé,fr,closed
barre,fr,closed off
ropa,es,clothing
roupa,pt,clothing
abbigliamento,it,clothing
bekleidung,de,clothing
vêtement,fr,clothing
nuage,fr,cloud
nuvoloso,it,cloudy
pagliaccio,it,clown
palhaço,pt,clown
club,de,Club
clube,pt,club
verein,de,club
allenatore,it,coach
treinador,pt,coach
coalición,es,coalition
costa,es,coast
costa,pt,coast
côte,fr,coast
abrigo,es,coat
agasalho,pt,coat
cappotto,it,coat
casaco,pt,coat
manteau,fr,coat
mantel,de,coat
revestir,es,coat
code,fr,code
código,es,code
código,pt,code
café,es,coffee
café,fr,coffee
café,pt,coffee
caffè,it,coffee
kaffee,de,coffee
moeda,pt,coin
moneda,es,coin
münze,de,coin
zufällig,de,Coincidentally
freddo,it,cold
frio,pt,cold
froid,fr,cold
kalt,de,cold
colaboración,es,collaboration
zusammenarbeit,de,collaboration
collègue,fr,colleague
kollege,de,colleague
sammeln,de,collect
coleção,pt,collection
colección,es,collection
collection,fr,collection
collezione,it,collection
sammlung,de,collection
colectivo,es,collective
faculdade,pt,college
universidad,es,college
student,de,college student
colônia,pt,Cologne
colonel,fr,Colonel
coronel,es,colonel
coronel,pt,Colonel
colonia,es,colony
color,es,color
colore,it,color
colorir,pt,color
cor,pt,color
couleur,fr,color
colorato,it,colored
colorido,pt,colorful
farbe,de,Colour
colonne,fr,column
columna,es,column
coluna,pt,column
spalte,de,column
pente,pt,comb
pettine,it,comb
combattre,fr,combat
kombination,de,combination
kommen,de,come
stammen,de,come
venir,es,come
venir,fr,come
venire,it,come
revenir,fr,come back
voltar,pt,come back
entrare,it,come in
vir,pt,come over
avenir,fr,come up
bequem,de,comfortable
comodo,it,comfortable
confortável,pt,comfortable
comandante,es,commander
comandante,pt,commander
comentar,es,comment
comentar,pt,Comment
comentário,pt,comment
commentaire,fr,comment
kommentar,de,comment
kommentieren,de,Comment
comentario,es,commentary
comercio,es,Commerce
comercial,es,commercial
comercial,pt,commercial
commerciale,it,commercial
comisión,es,commission
comissão,pt,commission
kommission,de,Commission
compromiso,es,commitment
einsatz,de,commitment
verpflichtet,de,Committed
comité,es,committee
comitê,pt,committee
commun,fr,common
commune,fr,Common
común,es,common
comune,it,common
comunicado,pt,Communicated
communication,fr,communication
comunicação,pt,communication
comunicación,es,communication
